clustering_ids,market_ids,car_ids,firm_ids,make,model,shares,quantity,trend,prices,mpg,hp,wt,len,wid,ht,wb,Doors,Seats,hpwt,space,ULSP,ULSD,CPI,mpd,region,Segment,Segment_Desc
48_1,2016,48_1_2016,Toyota,Lexus,CT,0.000336396,2827,8,27.20475192,6.874074074,134,310.1981993,4350,2020,1454.259259,2600,5,5,0.431981876,1.361989195,1.081920785,1.096510962,1.007,1.388260013,Japan,3,C-segment (compact)
48_18,2014,48_18_2014,Toyota,Lexus,NX,9.55651496101376e-05,792,6,39.19241935,4.861290323,206.6129032,389.3287803,4630,2130,1645,2660,5,5,0.530690033,1.528599208,1.274178846,1.334742308,1,0.819768391,Japan,7,J-segment (SUV)
48_18,2016,48_18_2016,Toyota,Lexus,NX,0.000429211,3607,8,39.53108727,4.853658537,206.7073171,389.5455998,4630,2130,1645,2660,5,5,0.530637022,1.528599208,1.081920785,1.096510962,1.007,0.980225117,Japan,7,J-segment (SUV)
48_18,2015,48_18_2015,Toyota,Lexus,NX,0.000354474,2972,7,39.57135135,4.794594595,207.972973,389.11543,4630,2130,1645,2660,5,5,0.534476294,1.528599208,1.110338462,1.149969231,1,0.933221837,Japan,7,J-segment (SUV)
48_18,2017,48_18_2017,Toyota,Lexus,NX,0.000433172,3656,9,38.63243472,4.879166667,202.2291667,390.5162823,4632.708333,2130,1645,2660,5,5,0.517850794,1.529493367,1.136482666,1.162544636,1.034,0.93368867,Japan,7,J-segment (SUV)
48_2,2015,48_2_2015,Toyota,Lexus,GS,4.55615641690501e-05,382,7,47.52595745,5.012340426,287.893617,391.0151557,4866.382979,1954.893617,1453.723404,2850,4,5,0.736272272,1.47456,1.110338462,1.149969231,1,0.975603974,Japan,5,E-segment (mid-size luxury sedan)
48_2,2011,48_2_2011,Toyota,Lexus,GS,8.18391579605682e-06,67,3,52.02712348,3.6,341,411.16163,4850,1820,1430,2850,4,5,0.829357545,1.368189214,1.428407593,1.486139022,0.934,0.543415547,Japan,5,E-segment (mid-size luxury sedan)
48_2,2010,48_2_2010,Toyota,Lexus,GS,2.21282454760031e-05,180,2,54.35495899,3.6,341,411.16163,4850,1820,1430,2850,4,5,0.829357545,1.368189214,1.307647135,1.333718379,0.894,0.599617862,Japan,5,E-segment (mid-size luxury sedan)
48_2,2008,48_2_2008,Toyota,Lexus,GS,7.24326009038492e-05,581,0,51.71782763,3.183333333,301.0833333,386.2677958,4850,1820,1430,2850,4,5,0.779467863,1.368189214,1.263295795,1.38792344,0.847,0.528247,Japan,5,E-segment (mid-size luxury sedan)
48_2,2014,48_2_2014,Toyota,Lexus,GS,6.19001537247482e-05,513,6,44.47807692,5.207692308,277,391.4896362,4850,1840,1455,2850,4,5,0.707553852,1.38322426,1.274178846,1.334742308,1,0.878182799,Japan,5,E-segment (mid-size luxury sedan)
48_2,2009,48_2_2009,Toyota,Lexus,GS,4.19917205704928e-05,339,1,50.72126488,3.215384615,304.1538462,388.1827062,4850,1820,1430,2850,4,5,0.783532706,1.368189214,1.150044413,1.20266033,0.866,0.601265196,Japan,5,E-segment (mid-size luxury sedan)
